Servidor,Fecha,Hora,%Libre CPU,%Libre RAM,%Libre HDD,Espacio Total Gb,Espacio Disponible Gb,Num Conexiones,,
UX020,11/18/2019,0:00,76%,72%,74%,831,615.00,0,,
UX020,11/18/2019,0:01,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:02,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:03,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:04,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:05,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:06,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:07,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:08,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:09,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:10,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:11,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:12,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:13,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:14,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:15,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:16,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:17,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:18,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:19,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:20,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:21,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:22,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:23,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:24,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:25,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:26,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:27,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:28,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:29,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:30,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:31,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:32,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:33,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:34,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:35,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:36,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:37,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:38,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:39,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:40,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:41,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:42,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:43,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:44,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:45,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:46,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:47,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:48,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:49,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:50,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:51,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:52,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:53,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:54,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:55,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:56,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:57,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:58,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,0:59,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:00,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:01,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:02,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:03,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:04,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:05,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:06,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:07,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:08,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:09,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:10,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:11,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:12,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:13,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:14,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:15,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:16,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:17,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:18,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:19,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:20,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:21,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:22,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:23,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:24,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:25,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:26,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:27,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:28,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:29,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:30,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:31,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:32,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:33,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:34,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:35,76%,72%,86%,712,615.00,0,,
UX020,11/18/2019,1:36,76%,72%,86%,712,615.00,0,,
