Servidor,Fecha,Hora,%Libre CPU,%Libre RAM,%Libre HDD,Espacio Total Gb,Espacio Disponible Gb,Num Conexiones,,
WIN010,11/18/2019,0:00,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:01,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:02,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:03,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:04,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:05,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:06,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:07,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:08,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:09,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:10,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:11,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:12,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:13,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:14,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:15,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:16,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:17,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:18,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:19,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:20,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:21,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:22,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:23,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:24,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:25,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:26,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:27,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:28,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:29,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:30,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:31,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:32,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:33,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:34,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:35,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:36,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:37,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:38,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:39,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:40,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:41,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:42,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:43,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:44,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:45,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:46,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:47,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:48,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:49,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:50,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:51,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:52,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:53,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:54,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:55,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:56,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:57,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:58,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,0:59,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:00,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:01,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:02,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:03,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:04,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:05,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:06,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:07,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:08,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:09,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:10,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:11,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:12,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:13,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:14,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:15,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:16,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:17,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:18,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:19,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:20,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:21,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:22,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:23,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:24,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:25,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:26,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:27,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:28,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:29,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:30,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:31,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:32,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:33,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:34,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:35,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:36,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:37,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:38,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:39,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:40,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:41,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:42,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:43,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:44,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:45,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:46,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:47,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:48,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:49,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:50,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:51,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:52,99%,78%,60%,800,480.00,0,,
WIN010,11/18/2019,1:53,99%,78%,60%,800,480.00,0,,
