Servidor,Fecha,Hora,%Libre CPU,%Libre RAM,%Libre HDD,Espacio Total Gb,Espacio Disponible Gb,Num Conexiones,
WIN020,11/18/2019,0:00,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:01,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:02,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:03,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:04,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:05,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:06,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:07,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:08,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:09,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:10,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:11,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:12,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:13,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:14,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:15,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:16,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:17,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:18,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:19,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:20,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:21,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:22,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:23,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:24,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:25,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:26,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:27,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:28,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:29,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:30,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:31,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:32,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:33,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:34,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:35,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:36,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:37,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:38,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:39,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:40,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:41,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:42,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:43,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:44,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:45,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:46,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:47,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:48,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:49,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:50,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:51,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:52,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:53,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:54,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:55,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:56,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:57,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:58,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,0:59,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:00,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:01,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:02,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:03,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:04,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:05,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:06,85%,74%,40%,1932,781.00,0,
WIN020,11/18/2019,1:07,85%,74%,40%,1932,781.00,0,
