Servidor,Fecha,Hora,%Libre CPU,%Libre RAM,%Libre HDD,Espacio Total Gb,Espacio Disponible Gb,Num Conexiones,,
UX010,11/18/2019,0:00,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:01,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:02,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:03,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:04,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:05,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:06,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:07,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:08,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:09,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:10,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:11,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:12,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:13,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:14,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:15,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:16,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:17,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:18,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:19,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:20,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:21,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:22,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:23,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:24,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:25,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:26,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:27,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:28,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:29,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:30,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:31,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:32,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:33,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:34,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:35,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:36,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:37,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:38,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:39,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:40,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:41,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:42,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:43,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:44,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:45,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:46,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:47,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:48,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:49,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:50,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:51,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:52,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:53,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:54,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:55,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:56,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:57,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:58,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,0:59,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:00,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:01,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:02,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:03,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:04,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:05,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:06,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:07,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:08,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:09,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:10,83%,68%,97%,712,692.00,0,,
UX010,11/18/2019,1:11,83%,68%,97%,712,692.00,0,,
